userId,movieId,rating,date
1,1,4.0,2000-07-30
1,3,4.0,2000-07-30
1,6,4.0,2000-07-30
1,47,5.0,2000-07-30
1,50,5.0,2000-07-30
1,70,3.0,2000-07-30
1,101,5.0,2000-07-30
1,110,4.0,2000-07-30
1,151,5.0,2000-07-30
1,157,5.0,2000-07-30
1,163,5.0,2000-07-30
1,216,5.0,2000-07-30
1,223,3.0,2000-07-30
1,231,5.0,2000-07-30
1,235,4.0,2000-07-30
1,260,5.0,2000-07-30
1,296,3.0,2000-07-30
1,316,3.0,2000-07-30
1,333,5.0,2000-07-30
1,349,4.0,2000-07-30
1,356,4.0,2000-07-30
1,362,5.0,2000-07-30
1,367,4.0,2000-07-30
1,423,3.0,2000-07-30
1,441,4.0,2000-07-30
1,457,5.0,2000-07-30
1,480,4.0,2000-07-30
1,500,3.0,2000-07-30
1,527,5.0,2000-07-30
1,543,4.0,2000-07-30
1,552,4.0,2000-07-30
1,553,5.0,2000-07-30
1,590,4.0,2000-07-30
1,592,4.0,2000-07-30
1,593,4.0,2000-07-30
1,596,5.0,2000-07-30
1,608,5.0,2000-07-30
1,648,3.0,2000-07-30
1,661,5.0,2000-07-30
1,673,3.0,2000-07-30
1,733,4.0,2000-07-30
1,736,3.0,2000-07-30
1,780,3.0,2000-07-30
1,804,4.0,2000-07-30
1,919,5.0,2000-07-30
1,923,5.0,2000-07-30
1,940,5.0,2000-07-30
1,943,4.0,2000-07-30
1,954,5.0,2000-07-30
1,1009,3.0,2000-07-30
1,1023,5.0,2000-07-30
1,1024,5.0,2000-07-30
1,1025,5.0,2000-07-30
1,1029,5.0,2000-07-30
1,1030,3.0,2000-07-30
1,1031,5.0,2000-07-30
1,1032,5.0,2000-07-30
1,1042,4.0,2000-07-30
1,1049,5.0,2000-07-30
1,1060,4.0,2000-07-30
1,1073,5.0,2000-07-30
1,1080,5.0,2000-07-30
1,1089,5.0,2000-07-30
1,1090,4.0,2000-07-30
1,1092,5.0,2000-07-30
1,1097,5.0,2000-07-30
1,1127,4.0,2000-07-30
1,1136,5.0,2000-07-30
1,1196,5.0,2000-07-30
1,1197,5.0,2000-07-30
1,1198,5.0,2000-07-30
1,1206,5.0,2000-07-30
1,1208,4.0,2000-07-30
1,1210,5.0,2000-07-30
1,1213,5.0,2000-07-30
1,1214,4.0,2000-07-30
1,1219,2.0,2000-07-30
1,1220,5.0,2000-07-30
1,1222,5.0,2000-07-30
